Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Opposition,1,0,385,1,0,0,9,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,5,3,1385,7,0,1,21,2150,,,,,,,,,,,,,,,,,,,,,,
Fry,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,5,3,1030,3,2,6,13,2150,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2150,8,0,17,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 10 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,270,1,1,0,3,620,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,305,1,1,2,3,620,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,620,3,1,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 10 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,305,1,1,0,3,290,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,1,230,1,1,2,1,290,,,,,,,,,,,,,,,,,,,,,,
