Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Sci_Frye,1,1,255,1,0,3,1,520,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,520,2,1,0,11,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,300,0,1,3,2,625,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,165,1,0,1,2,625,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,625,3,2,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,5,2,1675,6,2,12,12,3400,,,,,,,,,,,,,,,,,,,,,,
AcePocket,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,5,2,1045,4,1,11,5,3400,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3400,17,10,5,47,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,190,1,0,2,2,390,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,350,2,0,1,5,390,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,390,1,1,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,190,1,0,1,2,610,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,0,280,1,0,3,2,610,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,610,3,3,1,8,,,,,,,,,,,,,,,,,,,,,,,
