Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
BlackHawk,5,1,1820,10,0,11,17,3750,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,5,1,755,2,2,3,8,3750,,,,,,,,,,,,,,,,,,,,,,
kcscrag,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,3750,21,9,5,39,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,225,1,0,3,1,755,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,0,375,2,1,1,3,755,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,755,4,3,0,9,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,140,0,1,2,0,640,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,0,270,2,0,2,2,640,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,640,4,0,0,9,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,85,0,0,1,1,1085,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,0,475,3,0,3,5,1085,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1085,7,5,1,14,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,135,0,0,2,1,1085,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,0,435,3,0,4,4,1085,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1085,8,3,1,15,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,40,0,0,0,1,775,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,0,155,0,0,0,4,775,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,775,4,2,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,5,0,625,1,1,8,4,4340,,,,,,,,,,,,,,,,,,,,,,
kcscrag,5,0,1710,10,1,10,18,4340,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,4340,27,13,5,55,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,310,1,1,2,1,595,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,310,2,1,1,6,595,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,595,2,1,5,5,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,310,2,1,0,2,445,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,350,1,2,1,6,445,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,445,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,430,3,2,0,6,565,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
