Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Wray,1,1,595,5,3,1,7,285,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,700,5,4,0,7,285,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,285,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,5,3,2275,16,8,6,30,2760,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,5,3,2290,13,11,3,26,2760,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2760,11,6,24,23,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 10 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,570,4,1,2,8,330,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,240,2,1,0,3,330,,,,,,,,,,,,,,,,,,,,,,
