Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Cardinal22,5,5,575,5,5,5,5,150,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,5,5,575,5,5,5,5,150,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,150,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,575,5,0,0,7,540,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,270,1,3,2,2,540,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,540,3,0,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,500,4,0,1,4,470,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,205,0,2,1,2,470,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,470,2,1,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,460,2,1,1,4,285,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,290,2,1,2,2,285,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,285,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,580,5,0,1,7,590,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,200,0,1,2,3,590,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,590,4,1,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,585,3,2,1,10,405,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,365,4,0,0,6,405,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,405,1,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,5,5,2700,19,3,4,32,2290,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,5,5,1330,7,7,7,15,2290,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,2290,10,3,12,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,250,1,0,1,4,370,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,520,3,1,4,5,370,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,370,0,0,4,5,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,0,325,0,0,0,4,545,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,135,2,0,0,4,545,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,545,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,575,4,0,3,7,530,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,345,1,2,5,2,530,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,530,1,0,3,10,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,0,390,1,1,4,5,825,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,215,2,1,0,3,825,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,825,4,3,5,8,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,310,1,0,2,2,405,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,235,2,1,0,4,405,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,405,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,5,3,1850,7,1,10,22,2675,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,5,3,1450,10,5,9,18,2675,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2675,9,6,16,31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 10 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
