Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,335,2,0,0,3,515,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,280,1,1,1,6,515,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,515,2,1,4,5,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,5,5,1875,11,5,3,22,2275,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,5,5,2135,11,8,5,26,2275,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,2275,11,2,12,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,0,45,0,0,0,1,810,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,0,265,0,0,2,4,810,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,810,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,0,185,1,0,1,2,635,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,0,225,0,1,1,3,635,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,635,4,0,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,220,0,2,0,2,510,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,495,2,0,2,5,510,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,510,1,1,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,300,1,1,1,4,555,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,390,1,0,3,4,555,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,555,1,0,7,5,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,0,220,0,0,4,1,950,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,0,310,1,0,1,4,950,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,950,6,3,2,15,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,5,2,970,2,3,6,10,3460,,,,,,,,,,,,,,,,,,,,,,
YouReach,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,5,2,1685,4,1,9,20,3460,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3460,16,7,21,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,0,190,0,0,0,3,1200,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,0,130,0,0,0,2,1200,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1200,9,5,4,10,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,0,465,3,1,2,5,920,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,0,300,2,2,1,3,920,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,920,6,3,2,10,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,0,395,2,0,3,6,870,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,0,285,2,1,1,3,870,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,870,5,2,5,8,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,0,245,0,2,0,5,915,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,0,420,3,0,2,3,915,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,915,5,3,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,0,255,0,1,1,3,785,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,0,270,2,0,0,4,785,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,785,4,3,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,5,0,1550,5,4,6,22,4690,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,5,0,1405,9,3,4,15,4690,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,4690,29,16,18,42,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 10 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,160,1,0,1,1,325,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,410,1,1,3,3,325,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,325,0,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
